,DTime,ElapsedTime,T1,T1_time,HeaterValues
135,1606162698.1597915,184.17600679397583,32.19,135.0,20.0
136,1606162699.5386524,185.5548677444458,32.19,136.0,20.0
137,1606162700.8971722,186.91338753700256,32.19,137.0,20.0
138,1606162702.2555768,188.27179217338562,32.19,138.0,20.0
139,1606162703.6146524,189.63086771965027,32.51,139.0,20.0
140,1606162704.9738,190.9900152683258,32.51,140.0,20.0
141,1606162706.3323185,192.34853386878967,32.51,141.0,20.0
142,1606162707.6821382,193.69835352897644,32.51,142.0,20.0
143,1606162709.030783,195.0469982624054,32.51,143.0,20.0
144,1606162710.3795886,196.39580392837524,32.51,144.0,20.0
145,1606162711.7285051,197.74472045898438,32.51,145.0,20.0
146,1606162713.088043,199.1042582988739,32.83,146.0,20.0
147,1606162714.44676,200.46297526359558,32.83,147.0,20.0
148,1606162715.8165455,201.83276081085205,32.83,148.0,20.0
149,1606162717.1761653,203.1923806667328,32.83,149.0,20.0
150,1606162718.5352483,204.5514636039734,32.83,150.0,20.0
151,1606162719.9045837,205.92079901695251,32.83,151.0,20.0
152,1606162721.2746766,207.29089188575745,32.83,152.0,20.0
153,1606162722.6340215,208.65023684501648,33.15,153.0,20.0
154,1606162723.9834092,209.99962449073792,33.15,154.0,20.0
155,1606162725.332473,211.34868836402893,33.15,155.0,20.0
156,1606162726.6808834,212.69709873199463,33.15,156.0,20.0
157,1606162728.040294,214.05650925636292,33.15,157.0,20.0
158,1606162729.3995454,215.41576075553894,33.48,158.0,20.0
159,1606162730.7696257,216.78584098815918,33.48,159.0,20.0
160,1606162732.159175,218.17539024353027,33.48,160.0,20.0
161,1606162733.5185144,219.534729719162,33.48,161.0,20.0
162,1606162734.8880033,220.90421867370605,33.48,162.0,20.0
163,1606162736.247529,222.26374435424805,33.48,163.0,20.0
164,1606162737.6074247,223.6236400604248,33.48,164.0,20.0
165,1606162738.9563913,224.97260665893555,33.48,165.0,20.0
166,1606162740.315603,226.33181834220886,33.8,166.0,20.0
167,1606162741.6643646,227.68057990074158,33.8,167.0,20.0
168,1606162743.024082,229.04029726982117,33.8,168.0,20.0
169,1606162744.4032936,230.419508934021,33.8,169.0,20.0
170,1606162745.7736533,231.78986859321594,33.8,170.0,20.0
171,1606162747.143177,233.15939235687256,33.8,171.0,20.0
172,1606162748.5017729,234.51798820495605,33.8,172.0,20.0
173,1606162749.8614476,235.87766289710999,33.8,173.0,20.0
174,1606162751.231264,237.24747943878174,33.8,174.0,20.0
175,1606162752.5904093,238.60662460327148,33.8,175.0,20.0
176,1606162753.950142,239.96635723114014,34.12,176.0,20.0
177,1606162755.3088408,241.3250560760498,34.12,177.0,20.0
178,1606162756.6679606,242.68417596817017,34.12,178.0,20.0
179,1606162758.0279405,244.04415583610535,34.12,179.0,20.0
180,1606162759.396853,245.41306829452515,34.12,180.0,20.0
181,1606162760.7565796,246.77279496192932,34.12,181.0,20.0
182,1606162762.1154966,248.13171195983887,34.12,182.0,20.0
183,1606162763.484608,249.50082325935364,34.12,183.0,20.0
184,1606162764.843808,250.86002326011658,34.12,184.0,20.0
185,1606162766.2039533,252.22016859054565,34.44,185.0,20.0
186,1606162767.5633435,253.57955884933472,34.44,186.0,20.0
187,1606162768.9222057,254.93842101097107,34.44,187.0,20.0
188,1606162770.2811427,256.29735803604126,34.44,188.0,20.0
189,1606162771.6404805,257.6566958427429,34.44,189.0,20.0
190,1606162773.0006003,259.01681566238403,34.44,190.0,20.0
191,1606162774.3699021,260.3861174583435,34.44,191.0,20.0
192,1606162775.7289295,261.7451448440552,34.44,192.0,20.0
193,1606162777.088854,263.10506939888,34.76,193.0,20.0
194,1606162778.447313,264.4635283946991,34.76,194.0,20.0
195,1606162779.8075116,265.8237268924713,34.76,195.0,20.0
196,1606162781.1666877,267.18290305137634,34.76,196.0,20.0
197,1606162782.5253193,268.5415346622467,34.76,197.0,20.0
198,1606162783.8951085,269.91132378578186,34.76,198.0,20.0
199,1606162785.2651181,271.2813334465027,34.76,199.0,20.0
200,1606162786.6245878,272.6408030986786,34.76,200.0,20.0
201,1606162787.9840949,274.0003101825714,34.76,201.0,20.0
202,1606162789.354003,275.37021827697754,34.76,202.0,20.0
203,1606162790.7128994,276.7291147708893,34.76,203.0,20.0
204,1606162792.0828445,278.09905982017517,34.76,204.0,20.0
205,1606162793.4309773,279.4471926689148,35.09,205.0,20.0
206,1606162794.7910404,280.8072557449341,35.09,206.0,20.0
207,1606162796.1399722,282.1561875343323,35.09,207.0,20.0
208,1606162797.4994066,283.5156219005585,35.09,208.0,20.0
209,1606162798.8586242,284.87483954429626,35.09,209.0,20.0
210,1606162800.2279289,286.2441442012787,35.09,210.0,20.0
211,1606162801.5769594,287.5931746959686,35.09,211.0,20.0
212,1606162802.9463415,288.96255683898926,35.09,212.0,20.0
213,1606162804.316486,290.3327012062073,35.09,213.0,20.0
214,1606162805.6654153,291.6816306114197,35.09,214.0,20.0
215,1606162807.0249598,293.0411751270294,35.41,215.0,20.0
216,1606162808.3844235,294.40063881874084,35.41,216.0,20.0
217,1606162809.74332,295.7595353126526,35.41,217.0,20.0
218,1606162811.1024737,297.1186890602112,35.41,218.0,20.0
219,1606162812.471654,298.4878692626953,35.41,219.0,20.0
220,1606162813.8312979,299.84751319885254,35.41,220.0,20.0
221,1606162815.1806474,301.1968626976013,35.73,221.0,20.0
222,1606162816.5392852,302.55550050735474,35.41,222.0,20.0
223,1606162817.899062,303.9152772426605,35.73,223.0,20.0
224,1606162819.2587647,305.2749800682068,35.73,224.0,20.0
225,1606162820.606918,306.6231334209442,35.73,225.0,20.0
226,1606162821.966887,307.98310232162476,35.73,226.0,20.0
227,1606162823.3265467,309.3427619934082,35.73,227.0,20.0
228,1606162824.6752145,310.69142985343933,35.73,228.0,20.0
229,1606162826.0346756,312.0508909225464,35.73,229.0,20.0
230,1606162827.3937628,313.4099781513214,35.73,230.0,20.0
231,1606162828.7524316,314.7686469554901,35.73,231.0,20.0
232,1606162830.122438,316.13865327835083,35.73,232.0,20.0
